,artist,song,genre,lyrics
89,sugarland,already gone,Country,"My Mama mapped out the road that she knows
Which hands you shake and which hands you hold
In my hand-me-down Mercury, ready to roll
She knew that I had to go
And hangout, make lots of noise
And lay out, late with a boy
Make the mistakes that she made 'cause she knew all along

I was already gone
I was already gone
I was already gone
Life is a runaway train you can't wait to jump on

They say the first time won't ever last
But that didn't stop me, the first time he laughed
All my friends tried to warn me the day that we met
""Girl, don't you lose your heart yet""
But his dark eyes dared me with danger
And sparks fly like flame to a paper
Fire in his touch burnin' me up, but still I held on 'cause

I was already gone
I was already gone
I was already gone
Life is a runaway train you can't wait to jump on

The last time I saw him, we packed up my things
And he smiled like the first time he told me his name
And we cried with each other
We spread the blame for the parts, that we couldn't change
Pictures, dishes and socks
It's our whole life down to one box
There he was waving goodbye on the front porch alone

But I was already gone
I was already gone
I was already gone
I was already gone
I was already gone
Hangout, make lots of noise
And lay out late with a boy
Make the mistakes that she made, life is a runaway train

*Split*
Kristian: My mama mapped out the road that she knows
Which hands to shake, which hands you hold
In my hand-me-down Mercury
Life is a runaway train you can't wait to jump on

Jennifer: But his dark eyes dared me with danger
And sparks fly like flame to a vapor
Fire in his touch

*Together*
Life is a runaway train you can't wait to jump on"
91,alan jackson,country boy,Country,"(Keith Stegall/Charlie Craig)

I work a forty hour week and I earn my keep
And I try to walk proud and tall
I keep my nose to the ground, I don't get behind
And I don't back up at all
Well my neck's a little red, my collar's blue
I sip a little coffee, and I drink a little booze

'Cause I'm an all American country boy
I'm my daddy's spittin' image and my mama's pride and joy
There ain't nothing down home that I really don't enjoy
'Cause I'm an all American country boy

I drive a pickup truck and I don't pass the buck
And I always speak my mind
I'm hooked on T.V., Rolaids, and B.C.'s
And I know how to have a good time
I'm a little bit rowdy and a little bit tame
Ain't no way I'm ever gonna change

'Cause I'm an all American country boy
I'm my daddy's spittin' image and my mama's pride and joy
There ain't nothing down home that I really don't enjoy
'Cause I'm an all American country boy

Well I must admit that I've mellowed a bit
Father Time can slow you down
I'm still doin' all I used to do
It just takes a little longer now

'Cause I'm an all American country boy
I'm my daddy's spittin' image and my mama's pride and joy
There ain't nothing down home that I really don't enjoy
'Cause I'm an all American country boy

I'm just a country boy
A good ol' country boy"
92,blake shelton,she wouldn't be gone,Country,"Red roadside wild flower if I'd only picked you
Took you home set you on the counter
Oh, at least a time or two
Maybe she'd thought it through

Yellow sunset slowly dippin' down in the rear view
Oh, how she'd love to sit and watch you
I could have done that a whole lot more
If I hadn't been so stubborn
Been so selfish
Thought about her more
Thought about me less
Joked and maked her laugh
Held her when she cried
A little more that, maybe I

Wouldn't be drivin' like hell
Flyin' like crazy down the highway
Callin' everyone we know
Stoppin' any place she might be
Goin' any place she might go
Beatin' on the dash
Screamin' out her name at the windshield
Tears soakin' up my face
If I had loved her this much all along
Maybe, maybe, yeah maybe
She wouldn't be gone
She wouldn't be gone

She warned me it was comin'
Said if I didn't change
She was leavin'
I just didn't believe
She would ever really walk out
God, I believe her now
Called her mamma
Cried like a baby to her best friend
If they've seen her, they ain't sayin'
They ain't sayin
Now, I'm cursing like a fool
Prayin' it ain't too late
All I wanna do is fix my mistakes
Find her, beg her for one more try
Until then damn it I""ll

Wouldn't be drivin' like hell
Flyin' like crazy down the highway
Callin' everyone we know
Stoppin' any place she might be
Goin' any place she might go
Beatin' on the dash
Screamin' out her name at the windshield
Tears soakin' up my face
If I had loved her this much all along
Maybe, maybe, yeah maybe
She wouldn't be gone
She wouldn't be gone

I wouldn't be beatin' on the dash
Screamin' out her name at the windshield
Tears soakin' up my face
If I had loved her this much all along
Maybe, maybe, yeah maybe
She wouldn't be gone

Red roadside wild flower if I'd only picked you
Took you home set you on the counter
Oh, at least a time or two
Maybe she'd thought it through"
93,dierks bentley,feel that fire,Country,"She wants her nails painted black.
She wants the toy in the cracker jack.
She wants to ride the bull at the rodeo.
She wants to wear my shirt to bed.
She wants to make every stray a pet, and drive around in my truck with no place to go.

[Chorus:]
But she needs to feel that fire.
The one that lets her know for sure
She's everything I want and more.
Her real desire.
And to know I'd walk alone out on the wire... To make her feel that fire.

She wants a cabin in the woods.
She wants to stand where nobody stood.
Someday she wants a couple kids of her own.
She wants to make love on a train.
Someday she only wants a break
Hey, she wants what she wants and man I know, I know, I know
She needs to feel that fire.
The one that lets her know for sure
She's everything I want and more.
Her real desire.
And to know I'd walk alone out on the wire... To make her feel that fire.
Yeah-ah, feel that fire.

So, as long as there's a breath to take,
A smile to share,
A prayer to pray,
A chance to hold her hand to fan the flame,
She's gonna feel that fire.
The one that lets her know for sure
She's everything I want and more.
Her real desire.
And to know I'd walk alone out on the wire, yeah to make her feel that fire.
Woah-oh, feel that fire

She wants her nails painted black.
She wants the toy in the cracker jack.
She wants to ride the bull at the rodeo."
95,toby keith,god love her,Country,"Just a girl born in Dixie, washed in the blood
And raised on the banks of the Mississippi mud
She always had a thing about fallin' in love with a bad boy
Yeah they could see it all comin'
But her daddy never dreamed
She'd grow up that fast, you know what I mean
The way a girls gets when she turns seventeen, kinda crazy

[Chorus:]
She's a rebel child and a preacher's daughter
She was baptized in dirty water
Her mama cried the first time they caught her with me
They knew they couldn't stop her
She holds tight to me and the Bible
On the back seat of my motorcycle
Left her daddy standing there preaching to the choir, you see
God love her
Oh, me and God love her

She kissed her mama good-bye
Said, ""I'll be sure to phone 'ya""
She called her from a truck stop in Tucson, Arizona
With amazing grace we made California alive
And then my gypsy life started takin' it's toll
And the fast lane got empty and out of control
And just like an angel she saved my soul from the devil

[Chorus:]
She's a rebel child and a preacher's daughter
She was baptized in dirty water
Her mama cried the first time they caught her with me
They knew they couldn't stop her
She holds tight to me and the Bible
On the back seat of my motorcycle
Left her daddy standing there preaching to the choir, you see
God love her
Oh, me and God love her

[Bridge:]
Now she holds tight to me and the Bible
On the back seat of my motorcycle
Left her daddy standing there preaching to the choir, you see
God love her
Oh me and God love her
God love her
Me and God love her"
96,keith urban,sweet thing,Country,"When I picked you up
For our first date baby
Well your pretty blue eyes
They were drivin me crazy
And the tiny little thought
That was so amazing is
They were lookin at me
I held open the car door for you
Then you climbed inside and slid on over to the other side
I thought my oh my

Sweet thing
The moon is high
And the night is young
Comon and meet me
In the backyard under the cotton wood tree
It's a good thing
Am I wishin
Oh come'on sweet thing
Won't you climb on out of your window
While the world's sleepin
You know I need you and there's
No way I'll be leavin
Till we're kissin on the porch swing
Oh my little sweet thing

Yea
I know I'm gonna see you first thing tomorrow
But I just couldn't wait
So I had to borrow uncle jake's mustang
It's his favorite car
So I can't stay long
Standin here feelin like a
Love-struck romeo
Oh all I wanna do is hold you close
Steal a little more time
Is that such a crime

Sweet thing
The moon is high and the night is young
Comon and meet me
In the backyard under the cotton wood tree
It's a good thing
Am I wishin
Oh come'on sweet thing
Won't you climb on out of your window
While the world's sleepin
Cuz you know I need you and
There's no way I'll be leavin
Till we're kissin on the porch swing
Oh my sweet thing

Oh my
Sweet thing
Sweet thing
Sweet thing
Sweet thing

Oh my sweet thing
The moon is high and the night is young
Comon and meet me
In the backyard
Under the cotton wood tree
It's a good thing
Tell me I'm not dreamin'
Oh sweet thing
Won't you climb on out of your window
While the world's sleepin
Cuz you know I need you and
There's no way I'll be leavin
Till we're kissin on the porch swing
Oh my little sweet thing

Oh come'on
Sweet thing
Sweet thing
Sweet thing
Sweet thing

Oh my little sweet thing
Yes you are!"
98,george strait,river of love,Country,"Hey baby won't you take a little ride with me
Have a look around, see what we can see
I've got the paddle, I've got the boat
Come on baby I know she'll float

We'll go rollin' on the river of love
We'll go rollin' on the river of love

Drift away from all these city lights
Might rock a little bit, so hold on tight
Lets get carried away with the gentle flow
Might get caught up in it's undertow

We'll go rollin' on the river of love
Let's go rollin' on the river of love

I got a little ukulele let me sing you a song
I got a stream of kisses 'bout 10 miles long
Dancing on the water in the moonlight beach
Sparking down through the sea of dreams

We'll go rollin' on the river of love
Let's go rollin' on the river of love
Yeah we'll go rollin' on the river of love
Let's go rollin' on the river of love

River of love
River of love
River of love
Rollin' on the river of love

Let's go rollin' on the river of love"
99,rascal flatts,here comes goodbye,Country,"I can hear the truck tires coming up the gravel road
And it's not like her to drive that slow, nothing is on the radio
Footsteps on the front porch, I hear my doorbell
She usually comes right in, now I can tell

Here comes goodbye, here comes the last time
Here comes the start of every sleepless night
The first of every tear I'm gonna cry
Here comes the pain, Here comes me wishing things would never change
And she was right here in my arms tonight, but here comes goodbye

I can hear her say ""I love you"" like it was yesterday
And I can see it written on her face that she had never felt this way
One day I thought I'd see her with her daddy by her side
And violins would play ""here comes the bride""

Here comes goodbye, here comes the last time
Here comes the start of every sleepless night
The first of every tear I'm gonna cry
Here comes the pain, Here comes me wishing things would never change
And she was right here in my arms tonight, but here comes goodbye

Why does it have to go from to good to gone?
Before the lights turn on, yeah and you're left alone
All alone, but here comes goodbye

Oh-oh-oh-oh

Here comes goodbye, here comes the last time
Here comes the start of every sleepless night
The first of every tear I'm gonna cry
Here comes the pain, Here comes me wishing things would never change
And she was right here in my arms tonight, but here comes goodbye"
100,rodney atkins,it's america,Country,"Drivin' down the street today
I saw a sign for lemonade
They were the cutest kids
I'd ever seen in this front yard

As they handed me my glass
Smiled and thinkin' to myself
Man what a picture perfect postcard this would make
Of America

It's a high school prom
It's a springstein song
It's a ride in a cheverlet
It's a man on the moon
And fireflies in June
Kids sellin lemonade
It's cities and farms
It's open arms
One nation under God
It's America

Later on when I got home
I flipped the T. V on
I saw a little town that some big
Twister tore apart
People came from miles around
Just to help their neighbors out
And I was thinkin' to my self
I'm so glad that I live in America

It's a high school prom
It's a springstein song
It's a ride in a cheverlet
It's a man on the moon
And fireflies in June
Kids sellin lemonade
It's cities and farms
It's open arms
One nation under God
It's America

Now we don't always get it all right
But there's no place else I'd rather build my life

Cause it's a kid with a chance
It's a rock n roll band
It's a farmer cuttin' hay

It's a big flag flyin' in the summer wind
Over a fallen hero's grave.

It's a high school prom
It's a springstein song
It's a welcome home parade
It's a man on the moon
And fireflies in June
Kids sellin lemonade
It's cities and farms
It's open arms
One nation under God
It's America"
102,sugarland,it happens,Country,"Missed my alarm clock ringing
Woke up, telephone screaming
Boss man singing his same old song

Rolled in late about an hour
No cup of coffee, no shower
Walk of shame with two different shoes on

Now it's poor me, why me, oh me, boring
The same old worn out blah, blah story
There's no good explanation for it at all

Ain't no rhyme or reason
No complicated meaning
Ain't no need to over think it
Let go, laughing
Life don't go quite like you planned it
We try so hard to understand it
The irrefutable, indisputable fact is
Pshhhhh, it happens

My trusty rusty had a flat
I borrowed my neighbors Cadillac
""I'll be right back,"" going down to Wally World
That yellow light turned red too quickly
Knew that truck the moment it hit me
Out stepped my ex and his new girl
(""Sorry 'bout your neck baby"")

But it's poor me, why me, oh me, boring
The same old worn out blah, blah story
There's no good explanation for it at all

Ain't no rhyme or reason
No complicated meaning
Ain't no need to over think it
Let go, laughing
Life don't go quite like you planned it
We try so hard to understand it
The irrefutable, indisputable fact is
It happens

Ain't no rhyme or reason
No complicated meaning
Ain't no need to over think it
Let go, laughing
Life don't go quite like you planned it
We try so hard to understand it
The irrefutable, indisputable fact is

Yeah, the irrefutable, indisputable, absoluteable, totally beautiful fact is
Pshhhhh, it happens"
103,brad paisley,then,Country,"I remember trying not to stare
The night that I first met you,
You had me mesmerized,
And three weeks later,
In the front porch light,
Taking 45 minutes to kiss goodnight.
I hadn't told you then,
That I thought I loved you then

And now you're my whole life,
And now you're my whole world,
And I just can't believe the way I feel about you girl,
Like a river meets the sea, stronger than it's ever been,
We've come so far since that day,
And I thought I loved you then

And I remember taking you back to right where I first met you,
You were so surprised.
There were people around, but I didn't care,
I got down on one knee right there,
And once again
I thought I loved you then

And now you're my whole life,
Now you're my whole world,
And I just can't believe the way I feel about you girl,
Like a river meets the sea, stronger than it's ever been,
We've come so far since that day,
And I thought I loved you then

I can just see you, with a baby on the way
I can just see you, when your hair is turning gray
What I can't see is how I'm ever gonna love you more
But I've said that before

And now your my whole life
Now your my whole world
I just can't believe the way I feel about you girl,
We'll look back someday at this moment that we're in
And I'll look at you and say
And I thought I loved you then
And I thought I loved you then"
104,kenny chesney,out last night,Country,"We went out last night
Like we swore we wouldn't do
Drank too much beer last night
A lot more than we wanted to

There were girls from Argentina and Arkansas
Maine, Alabama and Panama
All mixed together and having a ball

Yeah, we went went out last night
One thing started leading to another
Out last night
Hitting on everybody and their mother

There were two karaoke girls drunk on a dare
Singing ""I Got You Babe"" by Sonny and Cher
Yeah, life was good everywhere
We went out last night

Well you know I'm a music man
I grew up in east Tennessee
Well last night I was everything
When I got a few drinks in me

I was a doctor, a lawyer, a senator's son
Brad Pitt's brother and a man on the run
Anything I thought would get the job done

Yeah, we went out last night
One thing started leading to another
Out last night
Hitting on everybody and their mother

There were people doing body shots up on the bar
Jimmy in a fist fight out by the car
Everybody was some kind of star
When we went out last night

Well the fact that I'm still breathing
Means that I must have survived
And that I lived to go out with my friends again tonight

Oh, we went out last night
One thing started leading to another
Out last night
Everybody started loving on each other

They were dancing on the tables and howling at the moon
Pairing up together and pretty soon
There was not a soul in sight
When we went out last night"
105,dierks bentley,sideways,Country,"Verse I
Hey girl, what's your name?
It's so loud in here I can't hear a thing, 
But I sure do like your style, 
And I can see you came to rock 
In your blue jeans and white tank top; 
Man that look drives me wild.

(Chorus)
And it's hey now here we go.
D-j don't you play nothing slow
Keep those girls out on the floor
Gotta make them want to come back for more.
Been here since the sun went down, 
Be here when it comes back around
Worked all week it's time to play
Gonna get a little bit sideways... 
Sideways.

Verse II
Ain't no need to fight
Y'all take that redneck stuff outside
That's what parking lots are for.
Once you're out you ain't coming back
The man on the ropes ain't got no slack.
Man they're busting down the door! 

(Chorus)
And it's hey now here we go 
D-J don't you play nothing slow
Keep those girls out on the floor
Gotta make 'em wanna come back for more.
Been here since the sun went down
Be here when it comes back around 
Worked all week it's time to play
Gonna get a little bit sideways... 
Sideways.

Bridge

That's right

Hey now here we go
(Hey now here we go)
D-j don't you play nothing slow 
Gotta make 'em wanna (what?)... gotta make 'em wanna (what?)... gotta make 'em wanna come back for more.

(Chorus)
Hey now here we go 
D-J don't you play nothing slow
Keep those girls out on the floor
Gotta make 'em wanna come back for more
Been here since the sun went down
Be here when it comes back around 
Worked all week it's time to play
Gonna get a little bit sideways (na na na na na)... 
Sideways... sideways... sideways

Hey girl what's your name?It's so loud in here I can't hear a thing..."
106,lady antebellum,i run to you,Country,"I run from hate
I run from prejudice
I run from pessimists
But I run too late

I run my life
Or is it running me?
Run from my past, I run too fast
Or too slow it seems

When lies become the truth
That's when I run to you

[Chorus:]
This world keeps spinning faster
Into a new disaster so I run to you
I run to you, baby
And when it all starts coming undone
Baby, you're the only one I run to
I run to you

We run on fumes
Your life and mine
Like the sands of time
Slippin' right on through

And our love's the only truth
That's why I run to you

[Chorus:]
This world keeps spinning faster
Into a new disaster so I run to you
I run to you, baby
And when it all starts coming undone
Baby, you're the only one I run to
I run to you

Ohh
Oh, I run to you

[Chorus:]
This world keeps spinning faster
Into a new disaster so I run to you
I run to you, baby
And when it all starts coming undone
Baby, you're the only one I run to
I run to you
I run to you, yeah

Ohh
Oh I run to you
I run to you, girl
Ohh

I always run to you
Run to you
Run to you"
107,billy currington,people are crazy,Country,"This old man and me, were at the bar and we
Were having us some beers and swaping I don't cares
Talking politics, blonde and red-head chicks
Old dogs and new tricks and habits we aint kicked

We talked about Gods grace and all the hell we raised
Then I heard the ol' man say;
God is great, beer is good and People Are Crazy

He said ""I fought two wars,
Been married and divorced""
What brings you to Ohio?
He said ""Damned if I know""
We talked an hour or two about every girl we knew
What all we put them through
Like two old boys will do

We pondered life an death
He light a cigarette
He said ""These damn things will kill me yet;
But God is great, beer is good and people are crazy""

Last call it's 2am, I said goodbye to him
I never talk to him again
Then one sunny day, I saw the old mans face
Front page Obituary, he was a millionaree
He left his fortune to some guy he barely knew, his kids were mad as hell
But me, I'm doing well
And I drop by today, to just say thanks and pray, I left a six-pack right there on his grave and I said; God is great,
Beer is good, and people are crazy.

God is great, beer is good, and people are crazy.

God is great, beer is good, and people are crazy."
108,darius rucker,alright,Country,"Alright, alright
Yeah, it's alright, alright

And I don't need five star reservations
I got spaghetti and a cheap bottle of wine
I don't need no concert in the city
I got a stereo and the 'Best Of Patsy Cline'

Ain't got no caviar, no Dom Perignon
But as far as I can see I got everything I want

'Cause I got a roof over my head
The woman I love layin' in my bed
And it's alright, alright

I got shoes under my feet
Forever in the aisle staring back at me
And it's alright, alright

Yeah, I got all I need
And it's alright by me

Maybe later on we'll walk down to the river
Lay on a blanket and stare up at the moon
It may not be no French Riviera
But it's all the same to me as long as I'm with you

May be a simple life but that's okay, yeah
If you ask me baby I think I got it made

'Cause I got a roof over my head
The woman I love layin' in my bed
And it's alright, alright

I got shoes under my feet
Forever in the aisle staring back at me
And it's alright, alright

Yeah, I got all I need
And it's alright by me
It's alright by me, yeah, yeah

When I lay down at night I thank the lord above
For giving me everything I ever could dream of

'Cause I got a roof over my head
The woman I love layin' in my bed
And it's alright, alright, alright, alright

I got shoes under my feet
Forever in the aisle staring back at me
And it's alright, alright, alright

Yeah, I got all I need, yeah, I got all I need
And it's alright by me, oh yeah
It's alright by me, yeah, yeah, yeah"
109,taylor swift,you belong with me,Country,"You're on the phone with your girlfriend, she's upset
She's going off about something that you said
She doesn't get your humour like I do

I'm in the room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do

But she wears short skirts, I wear t-shirts
She's cheer captain, and I'm on the bleachers
Dreaming about the day when you'll wake up and find
That what you're lookin for has been here the whole time

If you could see that I'm the one who understands you
Been here all along so why can't you see?
You belong with me
You belong with me

Walkin the streets with you and your all worn out jeans,
I can't help thinking this is how it ought to be
Laughing on the park bench thinkin to myself
Hey isn't this easy?

And you've got that smile that could light up this whole town
I haven't seen it in awhile, since she brought you down
You say you fine I know you better than that
Hey, Whatcha doing with a girl like that?

She wears high heels, I wear sneakers
She's cheer captain and I'm on the bleachers
Dreaming about the day when you'll wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along so why can't you see?
You belong with me

Standin by, I'm waiting at your back door
All this time how could you not know baby?
You belong with me
You belong with me

Oh I remember you driving to my house in the middle of the night
I'm the one who makes you laugh when you know you're about to cry
I know your favorite songs and you tell me about your dreams
I think I know where you belong. I think I know it's with me.

Can't you see that I'm the one who understands you?
Been here all along so why can't you see?
You belong with me

Standing by, I'm waiting at your back door
All this time how could you not know baby
You belong with me
You belong with me

You belong with me
Have you ever thought just maybe
You belong with me
You belong with me"
110,jason aldean,big green tractor,Country,"She had a shiny little beamer with the rag top down,
Sittin' in the drive but she wouldn't get out,
The dogs were all barking and wagging around,
And I just laughed and said yall get in,
She had on a new dress and she curled her hair,
She was looking too good not to go somewhere,
Said what you want to do baby I don't care,
We can go to the show we can stay out here,

And I can take you for a ride on my big green tractor,
We can go slow or make it go faster,
Down through the woods and out to the pasture,
Long as I'm with you it really don't matter,
Climb up in my lap and drive if you want to,
Girl you know you got me to hold on to,
We can go to town but baby if you'd rather,
I'll take you for a ride on my big green tractor,

Said we can fire it up and I can show you around,
Sit upon the hill and watch the sun go down,
When the fireflies are dancing and the moon comes out,
We can turn on the lights and head back to the house,

Or we can take you for a ride on my big green tractor,
We can go slow or make it go faster,
Down through the woods and out to the pasture,
Long as I'm with you it really don't matter,
Climb up in my lap and drive if you want to,
Girl you know you got me to hold on to,
We can go to town but baby if you'd rather,
I'll take you for a ride on my big green tractor,

Just let me dust off the seat,
Mmmmmm put your pretty little arms around me,
Hell yeah,

You can climb up in my lap and drive if you want to,
Girl you know you got me to hold on to,
We can go to town but baby if you'd rather,
I'll take you for a ride on my big green tractor,

Oh yeah yeah,
We can go to town,
Or we can go another round,
On my big green tractor."
111,justin moore,small town usa,Country,"A lot of people called it prison when I was growin up
But these are my roots and this is what I love
Cause everybody knows me and I know them
And I believe that's the way we were supposed to live
I wouldn't trade one single day here in small town usa

Chorus
Give me a Saturday night my baby by my side
A little Hank Jr. And a six pack of lights
Old dirt road and I'll be just fine
Give me a Sunday morning that's full of grace
A simple life and I'll be okay
Here in small town usa

Around here we break our backs just to earn a buck
We never get ahead but we have enough
I watch people leave and then come right back
I never wanted any part of that
And I'm proud to say that I love this place
Good ole small town usa

Chorus
Give me a Saturday night my baby by my side
David Allen Coe and a six pack of lights
Old dirt road and I'll be just fine
Give me a Sunday morning that's full of grace
A simple life and I'll be okay
Here in small town usa
Oh yeah

I wouldn't trade one single day
I'm proud to say I love this place

Chorus
Give me a Saturday night my baby by my side
Sweet home Alabama and a six pack of lights
Old dirt road and I'll be just fine
Give me a Sunday morning that's full of grace
A simple life and I'll be okay
Here in small town usa
Oh Yea
Small town usa"
114,keith urban,only you can love me this way,Country,"Well I know there's a reason
And I know there's a rhyme
We were meant to be together
That's why
We can roll with the punches
We can stroll hand in hand
And when I say it's forever
You understand

That you're always in my heart,
You're always on my mind
But when it all becomes too much,
You're never far behind
And there's no one that comes close to you
Could ever take your place
Cause only you can love me this way

I could have turned a different corner
I could have gone another place
Then I'd of never had this feeling
That I feel today, yeah...

And you're always in my heart,
Always on my mind
When it all becomes too much,
You're never far behind
And there's no one that comes close to you
Could ever take your place
Cause only you can love me this way

Ooooh...

And you're always in my heart,
You're always on my mind
And when it all becomes too much,
You're never far behind
And there's no one that comes close to you
Could ever take your place
Cause only you can love me this way

Ooooh...

Only you can love me this way."
115,zac brown band,toes,Country,"I got my toes in the water, ass in the sand
Not a worry in the world, a cold beer in my hand
Life is good today. Life is good today.
Well, the plane touched down just about 3 o'clock
And the city's still on my mind
Bikinis and palm trees danced in my head
I was still in the baggage line
Concrete and cars are their own prison bars like this life I'm living in
But the plane brought me farther.
I'm surrounded by water
And I'm not going back again

I got my toes in the water, ass in the sand
Not a worry in the world, a cold beer in my hand
Life is good today. Life is good today.

Adios and vaya con dios
Yeah I'm leaving GA
And if it weren't for tequila and pretty senoritas
I'd have no reason to stay
Adios and vaya con dios
Yeah I'm leaving GA
Gonna lay in the hot sun and roll a big fat one
And grab my guitar and play

Four days flew by like a drunk Friday night as the summer drew to an
End
They can't believe that I just couldn't leave
And I bid adieu to my friends
Cause my bartender she's from the islands
Her body's been kissed by the sun
And coconut replaces the smell of the bar and I don't know if it's her or
The rum

I got my toes in the water, ass in the sand
Not a worry in the world, a cold beer in my hand
Life is good today. Life is good today.

Adios and vaya con dios
A long way from GA
Yeah, and all the muchachas they call me ""big poppa"" when I throw
Pesos their way
Adios and vaya con dios
A long way from GA
Someone do me a favor and pour me some Jager
I'll grab my guitar and play

Adios and vaya con dios
Going home now to stay
The senoritas don't care-o when there's no dinero
I got no money to stay
Adios and vaya con dios
Going home now to stay

I'm just gunna prop up by the lake
I've got my ass in a lawn chair
Toes in the clay
Not a worry in the world a PBR on the way
Life is good today. Life is good today."
116,carrie underwood,cowboy casanova,Country,"You better take it from me, that boy is like a disease
You're running, you're trying, you're trying to hide
And you're wondering why you can't get free
He's like a curse, he's like a drug
You get addicted to his love
You wanna get out, but he's holding you down
'Cause you can't live without one more touch

He's a good time, cowboy casanova
Leaning up against the record machine
He looks like a cool drink of water
But he's candy-coated misery
He's the devil in disguise
A snake with blue eyes
And he only comes out at night
Gives you feelings that you don't want to fight
You better run for your life

I see that look on your face
You ain't hearing what I say
So I'll say it again
'Cause I've been where you've been
And I know how it ends
You can't get away
Don't even look in his eyes
He'll tell you nothing but lies
And you wanna believe
But you won't be deceived
If you listen to me
And take my advice

He's a good time, cowboy casanova
Leaning up against the record machine
He looks like a cool drink of water
But he's candy-coated misery
He's the devil in disguise
A snake with blue eyes
And he only comes out at night
Gives you feelings that you don't want to fight
You better run for your life

Run, run away
Don't let him mess with your mind
He'll tell you anything you want to hear
He'll break your heart
It's just a matter of time
But just remember

He's a good time, cowboy casanova
Leaning up against the record machine
He looks like a cool drink of water
But he's candy-coated misery
He's the devil in disguise
A snake with blue eyes
And he only comes out at night
Gives you feelings that you don't want to fight
You better run for your life

Oh, you better run for your life
Oh, you better run for your life"
117,lady antebellum,need you now,Country,"Picture perfect memories
Scattered all around the floor.
Reaching for the phone cause, 
I can't fight it anymore.

And I wonder if I ever cross your mind.
For me it happens all the time.

It's a quarter after one.
I'm all alone and I need you now.
Said I wouldn't call, but I lost all control
And I need you now.
And I don't know how I can do without, 
I just need you now.

Another shot of whiskey, 
Can't stop looking at the door.
Wishing you'd come sweeping in the way you did before.

And I wonder if I ever cross your mind.
For me it happens all the time.

It's a quarter after one.
I'm a little drunk and I need you now.
Said I wouldn't call, but I lost all control 
And I need you now.
And I don't know how I can do without, 
I just need you now.

(Whoa Whoa)

Yes I'd rather hurt than feel nothing at all.

It's a quarter after one.
I'm all alone and I need you now.
And I said I wouldn't call, 
But I'm a little drunk and I need you now.
And I don't know how I can do without, 
I just need you now.
I just need you now.
Oh baby I need you now."
118,reba,consider me gone,Country,"Everytime I turn the conversation to somethin'
Deeper than the weather
I can feel you all, but shuttin' down
And when I need an explanation for the silence
You just tell me ""you don't wanna talk about it now""
What you're not sayin' is comin' in loud n clear
We're at a crossroads here

If I'm not the one thing, you can't stand to lose
If I'm not the arrow to the heart of you
If you don't get drunk, on my kiss
If you think you can do better than this
Then I guess we're done
Let's not drag this on
Consider me gone

With you I've always been wide open
Like a window or an ocean
There is nothin' I've ever tried to hide
So when you leave me, not knowin' where you're goin'
I start thinkin' that we're lookin'
We're lookin' at goodbye
How about a strong bout a strong shot of honesty?
Don't you owe that to me?

If I'm not the one thing, you can't stand to lose
If I'm not the arrow to the heart of you
If you don't get drunk, on my kiss
If you think you can do better than this
Then I guess we're done
Let's not drag this on
Consider me gone

Consider me a memory
Consider me the past
Consider me a smile in an old photograph
Someone who used to make you laugh

If I'm not the one thing, you can't stand to lose
If I'm not the arrow to the heart of you
Then I guess we're done
Let's not drag this on
Consider me gone
Consider me gone
Consider me gone
Just consider me gone (whoa oh whoa oh)"
119,tim mcgraw,southern voice,Country,"Hank Williams sang it
Number 3 drove it
Chuck Berry twanged it
Will Faulkner wrote it
Aretha Franklin sold it
Dolly Parton graced it
Rosa Parks rode it
Scarlett O chased it

Smooth as the hickory wind
That blows from Memphis
Down to Apalachicola
It's hi ya'll did ya eat well
Come on in I'm
Sure glad to know ya
Don't let this old gold cross
In this Allman Brothers t-shirt throw ya
It's cicadas making noise
With a southern voice

Hank Aaron smacked it
Michael Jordan dunked it
Pocahantas tracked it
Jack Daniels drunk it
Tom Petty rocked it
Dr. King paved it
Bear Bryant won it
Billy Graham saved it

Smooth as the hickory wind
That blows from Memphis
Down to Apalachicola
It's hi ya'll did ya eat well
Come on in I'm
Sure glad to know ya
Don't let this old gold cross
In this Crimson Tide t-shirt throw ya
It's cicadas making noise
With a southern voice

Jesus is my friend
America is my home
Sweet iced tea and Jerry Lee
Daytona Beach
That's what gets to me
I can feel it in my bones

Smooth as the hickory wind
That blows from Memphis
Down to Apalachicola
It's hi ya'll did ya eat well
Come on in child
I'm sure glad to know ya
Don't let this old gold cross
In this Charlie Daniels t-shirt throw ya
We're just boys making noise
With a southern voice

Yeah, yeah, yeah, yeah
Southern Voice
I got a southern voice
A southern voice"
